FDD, ID, Source, Function, Line(s), Status, Comment
ES200A,88,CDD_CurrMeas.c,CurrMeasPer1,1305,I,""
ES200A,89,CDD_CurrMeas.c,CurrMeasPer1,1304,I,""
ES200A,274,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1298,1559",I,""
ES200A,275,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1299,1560",I,""
ES200A,276,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1300,1561",I,""
ES200A,277,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1301,1562",I,""
ES200A,278,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1302,1563",I,""
ES200A,83,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,130,I,""
ES200A,86,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,132,I,""
ES200A,84,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,131,I,""
ES200A,251,CDD_CurrMeas.c,"CurrMeasPer1,SigMaxMinOffs","1449,1457,1804,1809,1816",I,""
ES200A,308,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,425-483,I,""
ES200A,309,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,426-484,I,""
ES200A,300,CDD_CurrMeas.c,"SigMaxMinGain,PerformGainCalibration","1916,1926,2132",I,""
ES200A,301,CDD_CurrMeas.c,"CurrMeasPer1,SigMaxMinOffs","1449,1457,1809,1816",I,""
ES200A,302,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,137,I,""
ES200A,303,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,136,I,""
ES200A,304,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,135,I,""
ES200A,305,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,140,I,""
ES200A,306,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,139,I,""
ES200A,307,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,138,I,""
ES200A,245,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1588,1637,187-192",I,""
ES200A,109,CDD_CurrMeas.c,CurrMeasPer3,1679,I,""
ES200A,102,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,"329,332,343,355,366",I,""
ES200A,103,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,"328,331,342,354,365",I,""
ES200A,100,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,"435,438,450,462,473",I,""
ES200A,101,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,"434,437,449,461,472",I,""
ES200A,104,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,"327,330,341,353,364",I,""
ES200A,246,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,122-209,I,""
ES200A,176,CDD_CurrMeas.c,SigMaxMinGain,"1903,1904,1905,1906,1907,1908,1909",I,""
ES200A,61,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,123,I,""
ES200A,65,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,129,I,""
ES200A,179,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1631-1649,179-185",I,""
ES200A,177,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1570,1619,164-168",I,""
ES200A,253,CDD_CurrMeas.c,CurrMeasPer1,1310,I,""
ES200A,174,CDD_CurrMeas.c,PerformGainCalibration,1969-2134,I,""
ES200A,257,CDD_CurrMeas.c,SigMaxMinOffs,1721-1813,I,""
ES200A,255,CDD_CurrMeas.c,"CurrMeasPer1,SigMaxMinOffs","1448,1456,1723-1744,1814-1821",I,""
ES200A,99,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,"436,439,451,463,474",I,""
ES200A,227,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1595,1599,1643,181,189",I,""
ES200A,225,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1588,1595,1599,1632,1637,1643,175",I,""
ES200A,92,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,126,I,""
ES200A,95,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,205,I,""
ES200A,162,CDD_CurrMeas_MotCtrl.c,"CurrMeasPer2,CalMotCurrCorrdDEF","175,428-486",I,""
ES200A,15,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,120,I,""
ES200A,273,CDD_CurrMeas.c,"CurrMeasPer1,CurrMeasPer3","1297,1558",I,""
ES200A,110,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,206,I,""
ES200A,151,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,316-372,I,""
ES200A,150,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,317-373,I,""
ES200A,157,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1612-1629,154-162",I,""
ES200A,158,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,175,I,""
ES200A,201,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,314,I,""
ES200A,200,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,127,I,""
ES200A,203,CDD_CurrMeas.c,CurrMeasPer1,1475,I,""
ES200A,202,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,200,I,""
ES200A,204,CDD_CurrMeas.c,CurrMeasPer3,1677,I,""
ES200A,207,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,125,I,""
ES200A,208,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,124,I,""
ES200A,148,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,422-480,I,""
ES200A,149,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,318-374,I,""
